"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2673,TTC,84812,1FDWF36F1YEA58554,Truck"
"2674,TTC,84822,1GDHG31R0V1028147,Car"
"2675,TTC,84863,NULL,NULL"
"2676,TTC,85369,4U1JDBJF5SR840492,NULL"
"2677,TTC,85357,1FDXF46P64EB30068,Truck"
"2678,TTC,85368,3D6WL46C96G269574,NULL"
"2679,TTC,85366,1GCHC24U32E186111,Car"
"2680,TTC,85361,1FDXR82A2JVA46423,Truck"
"2681,TTC,85370,2GCEC19V041290834,Car"
"2682,TTC,85358,1GBE6H1PXTJ100642,Truck"
"2683,TTC,85364,3D7MU48C04G230365,Truck"
"2684,TTC,86176,NULL,NULL"
"2685,TTC,64446,NULL,NULL"
"2686,TTC,87412,1FTSE34LX6HA74407,Car"
"2687,TTC,87414,3GCEC14X86G245210,Car"
"2688,TTC,87419,1FTSE34L07DA50139,Car"
"2689,TTC,87420,1FTSE34LX6HA04390,Car"
"2690,TTC,87415,1FDXF46P45EC21034,Truck"
"2691,TTC,87417,1FTSE3EL9ADA06145,Car"
"2692,TTC,87418,1FTNE24L88DA24476,Car"
"2693,TTC,76982,4KBC4B1R0YJ805002,Truck"
"2694,TTC,87421,1FTYR14U88PA92859,Car"
"2695,TTC,87674,1FTYR10U18PA84107,Car"
"2696,TTC,87673,1FTSE34L87DA05921,Car"
"2697,TTC,88874,1FTMF1CW0AKE39663,Car"
"2698,TTC,88869,1GCZGFAA1A1117174,Car"
"2699,TTC,88870,1FTNE24WX4HA50476,Car"
"2700,TTC,88872,1FTNE2EL6BDA22487,Car"
"2701,TTC,88876,1GBJC34U17E184702,Truck"
"2702,TTC,88882,1GCGG25C891147201,Car"
"2703,TTC,88873,NMOLS7CN8AT023840,NULL"
"2704,TTC,88883,1GBHC24K98E126376,Car"
"2705,TTC,88871,NULL,NULL"
"2706,TTC,88800,NULL,NULL"
"2707,TTC,88787,NULL,NULL"
"2708,TTC,88789,NULL,NULL"
"2709,TTC,72634,1XKDD48X39R257360,Truck"
"2710,TTC,72635,NULL,NULL"
"2711,TTC,72636,1XP5DB9X14D814760,Truck"
"2712,TTC,72641,1FUYDSYB9SP582367,Truck"
"2713,TTC,88786,NULL,NULL"
"2714,TTC,88794,NULL,NULL"
"2715,TTC,88796,NULL,NULL"
"2716,TTC,88877,1GBHC24U46E236752,Car"
"2717,TTC,88878,1GBHC24U24E343067,Car"
"2718,TTC,88879,1FTNE24W68DB49552,Car"
"2719,TTC,88880,1FTNE2EL3ADA01675,Car"
"2720,TTC,88881,1GBHC24U27E113856,Car"
"2721,TTC,72645,1XKDD09X47R161189,Truck"
"2722,TTC,88774,NULL,NULL"
"2723,TTC,88781,NULL,NULL"
"2724,TTC,88783,NULL,NULL"
"2725,TTC,88790,NULL,NULL"
"2726,TTC,88793,NULL,NULL"
"2727,TTC,88798,NULL,NULL"
"2728,TTC,88799,NULL,NULL"
"2729,TTC,88868,NMOLS7AN9BT059783,NULL"
"2730,TTC,88875,1GCGC29R5TE193191,Car"
"2731,TTC,88884,1FTNE24W64HA09584,Car"
"2732,TTC,72627,1XKAD69X9TR685177,Truck"
"2733,TTC,72628,1XKDDB9X76R122414,Truck"
"2734,TTC,72630,NULL,NULL"
"2735,TTC,72632,1FVABSAK81HJ93208,Truck"
"2736,TTC,72633,1XKAD09X1AJ276437,Truck"
"2737,TTC,72637,1XP7DB9XX7D634142,Truck"
"2738,TTC,72638,3WKDDR9X0XF828458,Truck"
"2739,TTC,72639,1XKDD09XX8R203723,Truck"
"2740,TTC,72640,1HTMKAANX2H407701,Truck"
"2741,TTC,72642,1XKADP9X7CR298682,Truck"
"2742,TTC,72643,1XKDD48X89R257354,Truck"
"2743,TTC,72644,1XKAD09X9AJ276430,Truck"
"2744,TTC,72646,NULL,NULL"
"2745,TTC,72647,1XKAA68X1TS685144,Truck"
"2746,TTC,72648,1XKDDU9X35RO95299,NULL"
"2747,TTC,72649,NULL,NULL"
"2748,TTC,88776,NULL,NULL"
"2749,TTC,88788,NULL,NULL"
"2750,TTC,91806,NULL,NULL"
"2751,TTC,92272,1GTFG25M5Y1902064,Car"
"2752,TTC,92275,1GCHG39R071238714,NULL"
"2753,TTC,68171,1FDSF34P87EB42976,Car"
"2754,TTC,68173,1FDSF34P67EB42975,Car"
"2755,TTC,68174,1FDSF34RX8EA55762,Car"
"2756,TTC,87416,1FTSE34L76DB34389,Car"
"2757,TTC,88345,NULL,NULL"
"2758,TTC,88779,NULL,NULL"
